service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8,1,1,1,1,1,0,0,2026-06-23,2026-09-21
10,0,0,0,0,1,0,0,2026-06-23,2026-09-21
13,1,1,1,1,1,0,0,2026-06-23,2026-09-21
14,0,0,0,0,0,1,0,2026-06-23,2026-09-21
15,1,1,1,1,1,0,0,2026-06-23,2026-09-21
19,0,0,1,0,0,0,0,2026-06-23,2026-09-21
20,0,0,0,0,0,0,1,2026-06-23,2026-09-21
21,0,0,0,0,0,0,1,2026-06-23,2026-09-21
25,0,0,0,1,0,0,0,2026-06-23,2026-09-21
29,1,1,1,1,1,0,0,2026-06-23,2026-09-21
32,1,1,1,1,1,0,0,2026-06-23,2026-09-21
35,0,0,0,1,0,0,0,2026-06-23,2026-09-21
36,0,0,0,0,1,0,0,2026-06-23,2026-09-21
38,1,1,1,1,0,0,0,2026-06-23,2026-09-21
39,0,1,1,1,1,0,0,2026-06-23,2026-09-21
41,1,0,1,1,1,0,0,2026-06-23,2026-09-21
42,1,1,0,1,1,0,0,2026-06-23,2026-09-21
53,1,1,1,0,0,0,0,2026-06-23,2026-09-21
61,1,0,1,0,1,0,0,2026-06-23,2026-09-21
62,0,1,0,1,0,0,0,2026-06-23,2026-09-21
71,1,0,0,0,0,0,0,2026-06-23,2026-09-21
72,0,1,0,0,0,0,0,2026-06-23,2026-09-21
73,0,0,1,0,0,0,0,2026-06-23,2026-09-21
80,1,0,0,0,1,0,0,2026-06-23,2026-09-21
143,1,1,1,1,0,0,0,2026-06-23,2026-09-21
164,0,0,0,0,0,1,0,2026-06-23,2026-09-21
165,0,0,0,0,0,0,1,2026-06-23,2026-09-21
178,0,1,0,1,0,0,0,2026-06-23,2026-09-21
182,0,1,0,1,0,0,0,2026-06-23,2026-09-21
183,0,0,0,0,0,1,1,2026-06-23,2026-09-21
184,0,0,0,0,0,0,1,2026-06-23,2026-09-21
197,0,0,0,0,1,0,0,2026-06-23,2026-09-21
202,0,0,0,1,0,0,0,2026-06-23,2026-09-21
203,0,1,0,0,1,0,0,2026-06-23,2026-09-21
204,0,1,0,0,0,0,0,2026-06-23,2026-09-21
205,0,0,0,0,0,0,1,2026-06-23,2026-09-21
206,1,0,0,1,0,0,0,2026-06-23,2026-09-21
207,1,1,1,1,1,0,1,2026-06-23,2026-09-21
