location_type,parent_station,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,supported_modes,iptiscode,_has_coordinates
0,,10000,10000,Albany Hwy After Armadale Rd,,-32.1479141805,116.020204025,4,Bus,,True
0,,10001,10001,Albany Hwy After Frys L,,-32.1449538888889,116.018315,3,Bus,,True
0,,10002,10002,Albany Hwy After Clarence Rd,,-32.1420584628,116.017220501,3,Bus,,True
0,,10003,10003,Albany Hwy After Rogers L,,-32.1391138888889,116.017382222222,3,Bus,,True
0,,10004,10004,Albany Hwy After Galliers Av,,-32.1364944444445,116.017608888889,3,Bus,,True
0,,10005,10005,Albany Hwy Armadale Kelmscott Hospital,Armadale Health Service (Albany Hwy),-32.1335845144,116.017766077,3,Bus,,True
0,,10006,10006,Albany Hwy After Lilian Av,,-32.1301337202,116.018116552,3,Bus,,True
0,,10007,10007,Albany Hwy After Valentine Rd,,-32.1277783333333,116.018321111111,3,Bus,,True
0,,10008,10008,Albany Hwy After Foster Rd,,-32.12358167,116.017887331,3,Bus,,True
0,,10009,10009,Albany Hwy After Church St,Albany Hwy / Church St,-32.1190221387,116.017001951,3,Bus,,True
0,,10010,10010,Albany Hwy After Davis Rd,Albany Hwy / Denny Av,-32.1166061111111,116.015872222222,3,Bus,,True
0,,10011,10011,Albany Hwy Kelmscott Stargate Shopping Ctr,Kelmscott Stargate Shop Ctr,-32.113325,116.014082222222,3,Bus,,True
0,,10012,10012,Albany Hwy After Page Rd,,-32.1100743905,116.01284248,3,Bus,,True
0,,10013,10013,Albany Hwy After Turner Pl,,-32.1082388888889,116.012628333333,3,Bus,,True
0,,10015,10015,Albany Hwy After Centre Rd,,-32.1022688888889,116.012041666667,3,Bus,,True
0,,10016,10016,Albany Hwy Before Lake Rd,,-32.0986772222223,116.012625,3,Bus,,True
0,,10017,10017,Albany Hwy After Lake Rd,,-32.0952972222222,116.013173333333,3,Bus,,True
0,,10019,10019,Albany Hwy After Tonkin Hwy,,-32.0864933333334,116.011679444444,3,Bus,,True
0,,10020,10020,Albany Hwy After Manning Av,Seaforth Stn (Albany Hwy),-32.0848327777778,116.011334444444,3,Bus,,True
0,,10021,10021,Albany Hwy After Ferres Dr,,-32.0808666666667,116.010276666667,3,Bus,,True
0,,10022,10022,Albany Hwy Before Verna St,,-32.07834,116.008545555556,3,Bus,,True
0,,10023,10023,Albany Hwy Before Clara St,,-32.0762403319,116.006815934,3,Bus,,True
0,,10024,10024,Albany Hwy After Gerald St,,-32.0736627777778,116.004297777778,3,Bus,,True
0,,10025,10025,Albany Hwy After Dorothy St,Albany Hwy / Dorothy St,-32.071495,116.001641666667,3,Bus,,True
0,,10026,10026,Albany Hwy After Main St,,-32.0694261356,115.999529308,3,Bus,,True
0,,10027,10027,Albany Hwy After Gosnells Rd,Albany Hwy / Gosnells Rd West,-32.0621955555555,115.997727777778,3,Bus,,True
0,,10028,10028,Albany Hwy Before Pitchford Av,,-32.0603116666667,115.995638888889,3,Bus,,True
0,,10029,10029,Albany Hwy After Helm St,,-32.0586535341,115.993452545,3,Bus,,True
0,,10030,10030,Albany Hwy Before The Crescent,,-32.0574724227,115.991778604,2,Bus,,True
0,,10031,10031,Albany Hwy After River Av,,-32.0554798902,115.989085117,2,Bus,,True
0,,10032,10032,Albany Hwy Before Dalziell St,,-32.0539647693,115.987306785,2,Bus,,True
0,68,10034,10034,Albany Hwy Before Olga Rd,Maddington Stn,-32.0514861111111,115.98446,2,Bus,,True
0,,10035,10035,Albany Hwy After Herbert St,Albany Hwy / Herbert St,-32.0491583333333,115.978948333333,2,Bus,,True
0,,10036,10036,Albany Hwy After Kenwick Link,Albany Hwy / Austin Av,-32.0457983333333,115.974556111111,2,Bus,,True
0,,10037,10037,Albany Hwy After Ozich Ct,,-32.0440555555555,115.973452222222,2,Bus,,True
0,,10038,10038,Albany Hwy Before Liddelow St,,-32.0419138888889,115.971990555556,2,Bus,,True
0,,10039,10039,Albany Hwy After Cooper Av,,-32.0391109663,115.970124271,2,Bus,,True
0,,10040,10040,Albany Hwy After Royal St,Albany Hwy / Royal St,-32.0360422222223,115.967974444444,2,Bus,,True
0,,10041,10041,Albany Hwy After Roe Hwy,,-32.0318238888889,115.963947222222,2,Bus,,True
0,,10042,10042,Albany Hwy After Harris St,,-32.0287478286,115.958042767,2,Bus,,True
0,,10043,10043,Albany Hwy After Beckenham St,,-32.0282033333334,115.954026666667,2,Bus,,True
0,,10044,10044,Albany Hwy After Clapham St,,-32.0278573124,115.951652844,2,Bus,,True
0,,10045,10045,Albany Hwy Before Highbury Cr,,-32.0273583333333,115.947556111111,2,Bus,,True
0,,10047,10047,Albany Hwy After Nicholson Rd,,-32.0263983333333,115.943244444444,2,Bus,,True
0,,10048,10048,Albany Hwy Before River Rd,,-32.0252588888889,115.941533333333,2,Bus,,True
0,,10049,10049,Albany Hwy After Liege St,Carousel Shop Ctr / Liege St,-32.0221095582,115.938125115,2,Bus,,True
0,,10050,10050,Albany Hwy - Carousel Shopping Ctr,Carousel Shop Ctr / Albany Hwy,-32.0192146875,115.935569997,2,Bus,,True
0,,10051,10051,Albany Hwy After Mason St,,-32.0171981765,115.932985748,2,Bus;School Bus,,True
0,,10052,10052,Albany Hwy After Wharf St,Albany Hwy / George St,-32.0161688888889,115.930303333333,2,Bus;School Bus,,True
0,,10053,10053,Albany Hwy After Manning Rd,,-32.012484439,115.927008372,2,Bus,,True
0,,10054,10054,Albany Hwy After Hamilton St,,-32.0106506772,115.92567845,2,Bus,,True
0,,10055,10055,Albany Hwy After Burton St,,-32.0087755555555,115.924328888889,2,Bus,,True
0,,10056,10056,Albany Hwy After Leach Hwy,,-32.0065959796,115.922918427,2,Bus,,True
0,,10057,10057,Albany Hwy After Bedford St,Bentley Plaza,-32.0037066666667,115.920489444444,1,Bus,,True
0,,10058,10058,Albany Hwy After Coolgardie St,,-32.0006066666667,115.917842777778,1,Bus,,True
0,,10059,10059,Albany Hwy After Walpole St,,-31.9981022222222,115.915795555556,1,Bus,,True
0,,10060,10060,Albany Hwy After Boundary Rd,,-31.995733079,115.914075842,1,Bus,,True
0,,10062,10062,Shepperton Rd After Somerset St,Shepperton Rd / Somerset St,-31.9885825661,115.910155382,1,Bus,,True
0,,10063,10063,Shepperton Rd Before Dane St,,-31.9862201986,115.908609367,1,Bus,,True
0,,10064,10064,Shepperton Rd After Mint St,Shepperton Rd / Mint St,-31.9817705555556,115.905645555556,1,Bus,,True
0,,10065,10065,Shepperton Rd Before Miller St,,-31.9791462026,115.903905842,1,Bus,,True
0,,10066,10066,Shepperton Rd After Gresham St,,-31.9764393773,115.901403542,1,Bus;School Bus,,True
0,,10067,10067,Shepperton Rd After Axon Av,,-31.97469484,115.899756552,1,Bus;School Bus,,True
0,,10068,10068,Shepperton Rd Before Harper St,,-31.9725694444444,115.897598333333,1,Bus,,True
0,,10069,10069,Shepperton Rd Before Rushton St,,-31.9705602118,115.895021493,1,Bus,,True
0,152,10070,10070,Causeway Bus Stn Stand 6,Causeway Bus Stn,-31.9682572222222,115.888872222222,1,Bus,,True
0,,10071,10071,Adelaide Tce Westend Causeway,Adelaide Tce / Westend Cway,-31.9615519278,115.876771626,FTZ,Bus,,True
0,,10072,10072,Adelaide Tce After Plain St,,-31.9605911111111,115.873911111111,FTZ,Bus,,True
0,,10073,10073,Adelaide Tce After Bennett St,,-31.9595038888889,115.870575,FTZ,Bus,,True
0,,10074,10074,Adelaide Tce After Hill St,St Georges Tce / Victoria Av,-31.9582205547,115.866641111,FTZ,Bus;School Bus,,True
0,107,10075,10075,St Georges Tce Stand 20 - After Victoria Av,,-31.9573505555555,115.864241666667,FTZ,Bus,,True
0,107,10076,10076,St Georges Tce Stand 21 - After Victoria Av,,-31.9572905555556,115.86407,FTZ,Bus,,True
